strength_k,diameter,resolution_order,m,eigen_index,real_sigma,imag_sigma,abs_sigma,edge_fraction,radial_roughness
20.75,4.58,70,17,102,2.684928577601063e-18,-81.81461665883573,81.81461665883573,0.12448761184269726,514.6370914255174
20.75,4.58,70,17,103,-2.3753469126759997e-19,-76.75491504756282,76.75491504756282,0.12283140759288565,473.42159236864603
20.75,4.58,70,17,104,2.412758123043488e-18,80.85913316502672,80.85913316502672,0.12400167320116016,471.75853183623695
20.75,4.58,70,17,105,-2.787294094875368e-18,-71.90491417878592,71.90491417878592,0.12036000688808539,432.5305045211273
20.75,4.58,70,17,106,-8.981547648257901e-19,75.8246544799624,75.8246544799624,0.1222325677343808,429.6630563275776
20.75,4.58,70,17,107,-6.247869050703968e-19,-67.31396344980904,67.31396344980904,0.11987630637861571,393.064866350854
20.75,4.58,70,17,108,3.04371069414672e-18,-62.93881075961511,62.93881075961511,0.12388808701269956,357.1875390464849
20.75,4.58,70,17,109,1.8343956048282478e-18,-58.714691377392484,58.714691377392484,0.12951641562804514,323.95606413543146
20.75,4.58,70,17,110,-2.6253652917162654e-18,-54.666213183350564,54.666213183350564,0.1324127229906185,291.62784193679585
20.75,4.58,70,17,111,-2.553046606150997e-18,-50.860069839360605,50.860069839360605,0.13242031030149798,260.91921073670994
20.75,4.58,70,17,112,2.661641301572965e-18,-47.28101448526771,47.28101448526771,0.13334435891132784,234.6278149032298
20.75,4.58,70,17,113,3.987466327221032e-18,-43.884129139960685,43.884129139960685,0.13630914364310093,212.79872047501897
20.75,4.58,70,17,114,-1.9624719135215878e-18,-40.675941605071394,40.675941605071394,0.1417371993657429,194.4847598486335
20.75,4.58,70,17,115,-4.672408981972354e-18,-37.689390412897986,37.689390412897986,0.15540392492448998,185.28453284084893
20.75,4.58,70,17,116,2.319507882985627e-18,-34.89239854200067,34.89239854200067,0.18256334082961725,195.88716579985586
20.75,4.58,70,17,117,6.904323060563091e-18,-32.34725627686677,32.34725627686677,0.21418988376971407,221.43337379539852
20.75,4.58,70,17,118,-3.4071516517621923e-19,-30.19546194224244,30.19546194224244,0.2571049772357522,241.63077278411103
20.75,4.58,70,17,119,-1.0560051391906163e-17,-28.386746372513365,28.386746372513365,0.3719429928060644,214.33094622504458
20.75,4.58,70,17,120,4.4142519296979295e-18,-26.233751962736175,26.233751962736175,0.37621181644215085,66.12416192494605
20.75,4.58,70,17,121,2.6706159778446703e-20,-13.944671650431419,13.944671650431419,0.24239059076145042,4464.061653380063
20.75,4.58,70,17,122,1.042141936224855e-17,-16.19045239668365,16.19045239668365,0.9921348306261956,199.80050847282973
20.75,4.58,70,17,123,-2.8060330916795228e-18,71.01288084499649,71.01288084499649,0.12008740851667694,387.97332068750006
20.75,4.58,70,17,124,1.3581588943836207e-19,66.45981059381855,66.45981059381855,0.12093692768880424,347.9493991528912
20.75,4.58,70,17,125,3.362617486292622e-18,62.112321705615926,62.112321705615926,0.12614728913906154,310.4262633072429
20.75,4.58,70,17,126,9.696340415656517e-19,57.914547007668254,57.914547007668254,0.13211563989814273,274.6304544073637
