diameter,coupling,m,n_radial,quadrature_factor,real,imag,abs_sigma,residual,normalization_error,accessible_area_center,accessible_area_wall
3.3,20.75,8,24,8,1.0666583549227906e-13,6.48328887186092e-07,6.483288871861008e-07,1.8473684710248034e-17,2.220446049250313e-16,3.1335275869254526,1.3669346978025931
3.3,20.75,8,32,8,9.348612836201112e-21,-226.16294305879393,226.16294305879393,4.632316880563208e-17,4.440892098500626e-16,3.1136027064737424,1.3665617524672424
3.3,20.75,8,32,8,-4.21382005338885e-19,-184.63788901671947,184.63788901671947,5.5271847157557746e-17,4.440892098500626e-16,3.1136027064737424,1.3665617524672424
3.3,20.75,8,32,8,8.885577440351505e-21,193.44765796957986,193.44765796957986,1.8232478241451178e-17,4.440892098500626e-16,3.1136027064737424,1.3665617524672424
3.3,20.75,8,32,8,-4.576605757744386e-19,182.70643292301781,182.70643292301781,1.9806884919488315e-16,4.440892098500626e-16,3.1136027064737424,1.3665617524672424
3.3,20.75,8,32,8,6.751878012215797e-21,-153.69330994009593,153.69330994009593,1.1037177520642571e-17,4.440892098500626e-16,3.1136027064737424,1.3665617524672424
3.3,20.75,8,32,8,-1.903377973069436e-19,-131.2603883399033,131.2603883399033,6.703186208387416e-17,4.440892098500626e-16,3.1136027064737424,1.3665617524672424
3.3,20.75,8,32,8,3.441869329235389e-20,139.0200482448243,139.0200482448243,5.70670267021736e-18,4.440892098500626e-16,3.1136027064737424,1.3665617524672424
3.3,20.75,8,32,8,-2.7583159970200574e-19,129.67459845958072,129.67459845958072,2.043646974503616e-16,4.440892098500626e-16,3.1136027064737424,1.3665617524672424
3.3,20.75,8,32,8,4.233130423027473e-19,-116.04435020836398,116.04435020836398,6.5818312827621164e-18,4.440892098500626e-16,3.1136027064737424,1.3665617524672424
3.3,20.75,8,32,8,1.041861864267088e-18,109.2886510491651,109.2886510491651,8.630443800160423e-18,4.440892098500626e-16,3.1136027064737424,1.3665617524672424
3.3,20.75,8,32,8,1.0150768414361933e-19,-100.93744417193325,100.93744417193325,2.663541568178057e-17,4.440892098500626e-16,3.1136027064737424,1.3665617524672424
3.3,20.75,8,32,8,-2.453817014718816e-19,100.5585480340483,100.5585480340483,7.324212197927914e-17,4.440892098500626e-16,3.1136027064737424,1.3665617524672424
3.3,20.75,8,32,8,-2.5336539898104774e-18,-95.23883126976283,95.23883126976283,1.7935521794360725e-17,4.440892098500626e-16,3.1136027064737424,1.3665617524672424
3.3,20.75,8,32,8,-2.6503125485454726e-18,93.10562328726601,93.10562328726601,2.171272674048031e-17,4.440892098500626e-16,3.1136027064737424,1.3665617524672424
3.3,20.75,8,32,8,9.218763659402137e-19,-86.87450832598218,86.87450832598218,2.4619077258123515e-17,4.440892098500626e-16,3.1136027064737424,1.3665617524672424
3.3,20.75,8,32,8,1.5095683959369282e-18,86.08086367460282,86.08086367460282,3.6069177315295424e-17,4.440892098500626e-16,3.1136027064737424,1.3665617524672424
3.3,20.75,8,32,8,1.8205794921900153e-18,-79.850722161767,79.850722161767,1.904018243081755e-17,4.440892098500626e-16,3.1136027064737424,1.3665617524672424
